state,year,population,firearm_homicide_rate,firearm_suicide_rate,permit_rate,background_check_total,civ_non_institution_pop_rate,labor_force_population_percentage,police_rate,state_imprisonment_rate,alc_per_capita,poverty_rate,cocaine_death_rate,gender_ratio,ages_5_9_pop_percent,ages_10_14_pop_percent,ages_15_19_pop_percent,ages_20_24_pop_percent,ages_25_29_pop_percent,ages_30_34_pop_percent,ages_35_45_pop_percent,ages_45_54_pop_percent,ages_55_59_pop_percent,ages_60_64_pop_percent,ages_65_74_pop_percent,ages_75_84_pop_percent,ages_85_plus_pop_percent,white_nonhispanic_pop_percent,black_nonhispanic_pop_percent,indigenious_nonhispanic_pop_percent,asian_pacific_nonhispanic_pop_perent,white_hispanic_pop_percent,black_hispanic_pop_percent,indigenious_hispanic_pop_percent,asian_pacific_hispanic_pop_percent,black_urban_youth_pop_percent,hispanic_urban_youth_pop_percent,military_veteran_pop_percent,foreign_born_pop_percent,urban_household_pop_percent,single_parent_pop_percent,biracial_nonhispanic_pop_percent,biracial_hispanic_pop_percent,bachelor_degree_pop_percent,high_school_degree_pop_percent,no_highschool_degree_pop_percent,some_college_pop_percent,cpi,income,income_2000,poc_type,denied_adjudicated_mh,denied_alien,denied_crime,denied_dishonorable_discharge,denied_dv_misdemeanor,denied_dv_restraining,denied_fed_denied_person_file,denied_fugitive,denied_renounced_citizen,denied_state_prohibitor,denied_substance_use,denied_under_indictment,reported_adjudicated_mh,denied_total
Massachusetts,2000,6349097,0.79,0.09,4.205007421,8.637921267,7.763215777,0.676,2.670458492,0.38,2.55,9.8,2.236538519,92.96591577,0.067861776,0.067922572,0.065479705,0.063675039,0.068359957,0.077611667,0.167424596,0.137555467,0.048826156,0.037234429,0.067384386,0.049714156,0.018379307,0.828048447,0.054611926,0.0019046,3.869663166,0.054665633,0.009370387,0.000854101,0.000800395,0.039839752,0.036110161,0.081753397,0.143545034,0.962061526,0.208590604,0.009213364,0.001834514,0.283717975,0.289348569,0.201888822,0.225044634,1.722,38437.86295,38577,Non-POC,0,2,97,0,2,12,0,13,0,4,11,0,NA,141
Michigan,2000,9938444,12.03,7.12,12.2726455,30.25232119,7.563195003,0.687,2.1393691,1.31,2.13,9.9,0.865326604,96.20468744,0.074979645,0.075163879,0.072432566,0.064782676,0.065868359,0.071192432,0.160827288,0.137641164,0.04889045,0.037947993,0.064686182,0.043636408,0.014334236,0.789731742,0.141719397,0.005431327,1.822881844,0.029069841,0.001791359,0.000631262,0.000286151,0.066497503,0.014521977,0.08145151,0.053079919,0.866308776,0.180530331,0.012298338,0.000811766,0.199209769,0.33797005,0.199831941,0.26298824,1.722,30023.2288,30310,Partial-Permit,7,8,3029,0,331,8,0,42,0,7,134,0,NA,3566
Minnesota,2000,4919479,2.46,6.35,6.675300372,37.62593559,7.583256276,0.754,1.717458292,0.89,2.37,5.7,NA,98.05923623,0.07234384,0.076226568,0.076097896,0.065552267,0.065012169,0.071818987,0.167534408,0.135318394,0.04611403,0.036185133,0.0601334,0.043264744,0.01740042,0.883305069,0.035577872,0.010641245,2.969877212,0.02622778,0.000997636,0.000759203,0.000341692,0.010593794,0.011283343,0.090806685,0.060710928,0.71746899,0.100163121,0.011629734,0.000820997,0.263775811,0.281393794,0.155414479,0.299415916,1.722,32332.17189,32252,Non-POC,7,14,926,0,280,84,0,18,0,11,23,0,NA,1363
Mississippi,2000,2844658,15.46,12.69,0.001406144,57.64489088,7.369536162,0.629,2.074063033,2.08,2.14,14.9,NA,93.36901057,0.076255212,0.076895711,0.081974002,0.074858559,0.067679841,0.066535942,0.149533617,0.127249392,0.046473776,0.039941884,0.06528377,0.040399233,0.015077735,0.60825154,0.361857651,0.003980661,0.676789628,0.01098689,0.002194566,0.000204587,0.000192635,0.059031298,0.00253393,0.091633051,0.013589676,0.357741547,0.209646869,0.00523279,0.000330784,0.154462192,0.294926223,0.260405567,0.290206018,1.722,21581.88153,21696,Non-POC,14,6,1669,3,116,7,2,129,0,5,55,0,NA,2006
Missouri,2000,5595211,11.47,12.75,0.000357449,34.23963815,7.570152404,0.699,2.168997738,2.71,2.25,9.2,0.840004068,94.66560091,0.071292754,0.073648697,0.073866026,0.06603826,0.064752697,0.067276819,0.158630121,0.132695979,0.049877118,0.040807219,0.07027903,0.0471085,0.01761703,0.839417185,0.112457751,0.004210798,1.165071998,0.019085103,0.000961483,0.000398637,0.000215489,0.042194865,0.00366916,0.091084177,0.027966088,0.758211569,0.218050615,0.011068398,0.000534435,0.226927317,0.291648977,0.189436784,0.291986921,1.722,28015.09872,28028,Non-POC,10,7,1760,1,174,130,0,176,0,4,100,0,NA,2362
Montana,2000,902195,3.48,2.44,0.002216816,78.82442266,7.614052394,0.68,1.716923725,1.36,2.54,14.1,NA,99.28300528,0.068680274,0.076810446,0.079040562,0.064707741,0.056644074,0.057831178,0.157328515,0.149732597,0.052288031,0.042058535,0.069296549,0.047764619,0.016999651,0.89708712,0.002854134,0.06043671,0.562292175,0.016534028,0.0002638,0.002027267,0.000244957,0.00089075,0.003354844,0.113329905,0.013891978,0.228282625,0.188380315,0.013954777,0.000974285,0.195346773,0.3310589,0.17020755,0.303386776,1.722,23594.07666,23195,Non-POC,2,0,624,2,437,17,0,36,0,2,58,0,NA,1178
Nebraska,2000,1711263,5.65,10.18,8.928493166,26.19410342,7.501897721,0.736,1.95644971,1,2.23,8.6,NA,97.16834715,0.072136779,0.075344351,0.078835924,0.07031707,0.06547737,0.06499527,0.154175016,0.131922446,0.045337274,0.037373566,0.067610297,0.048235134,0.019840901,0.874857266,0.039922161,0.007926462,1.330504958,0.051720108,0.001010384,0.00120615,0.000440034,0.023249711,0.01574224,0.101111618,0.038988665,0.557492308,0.122418071,0.008812959,0.000799425,0.216118944,0.330584908,0.168055042,0.285241107,1.722,28977.93264,29115,Partial-Permit,1,1,245,0,113,7,0,8,0,0,11,0,NA,386
Nevada,2000,1998257,10.67,2.51,0,24.92522233,7.619880726,0.701,2.416105636,2.44,3.67,8.8,4.053532654,103.8610409,0.074726124,0.069657206,0.063639962,0.0650597,0.074427864,0.079011358,0.161120917,0.134642341,0.052574319,0.042608133,0.065944971,0.035113101,0.008501909,0.656670086,0.066561241,0.010838484,4.928612536,0.185327662,0.003562617,0.0033144,0.002142375,0.028920079,0.098038988,0.099837046,0.168341416,0.830322403,0.198597541,0.019488552,0.002808457,0.163069047,0.341800138,0.233546747,0.261584068,1.722,31229.96516,31988,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
New Hampshire,2000,1235786,17.17,7.26,0.467718521,32.46516792,7.68615278,0.724,1.932373404,0.86,4.06,4.5,NA,96.74946506,0.071644281,0.075462095,0.070148068,0.055645557,0.05774058,0.071781037,0.178978399,0.148881764,0.050707809,0.038028429,0.063382333,0.041602672,0.014752554,0.953162589,0.006985719,0.002226076,1.33184227,0.014607459,0.001064082,0.000259749,0.000198251,0.003130827,0.002841199,0.098673956,0.047073251,0.636528352,0.136640891,0.007730171,0.000447481,0.255243219,0.283573835,0.166763226,0.29441972,1.722,34293.26365,35547,Partial-Purchase,1,2,254,0,71,12,0,5,0,2,15,0,NA,362
New Jersey,2000,8414350,4.66,0.24,0,4.409847463,7.654117074,0.665,3.650668204,1.62,2.2,7.3,2.00847362,94.25891665,0.071845003,0.070186883,0.062419082,0.057054793,0.064760439,0.076550536,0.170554588,0.137728761,0.050311432,0.039295489,0.068296303,0.047831146,0.016162746,0.666071205,0.13277865,0.001425708,5.829824817,0.116836075,0.011292295,0.001428679,0.001130275,0.061292064,0.04397568,0.075702486,0.166026793,1,0.149622953,0.008655264,0.0020836,0.261759984,0.319396544,0.170882039,0.247961433,1.722,39164.92451,39298,POC,0,1,36,0,0,0,2,0,0,0,0,0,NA,39
